Date,XOM,CVX,COP,SLB,EOG,MPC,PSX,VLO,WMB,BKR,OXY,HES,HAL,KMI,MRO,PXD,APA,DVN,FANG,FTI,NOV,MUR,OKE,HP,NBR,MTDR,RIG,SWN,AR,CHK,CNX,CRK,SM,RRC,GPOR,CPE,SBOW,REI,TPL,OVV,WES,PAA,HESM,ENLC,ETRN,AM
2019-03-11,79.77999878,123.6200027,65.87000275,42.08000183,86.26000214,59.20000076,96.66999817,83.48000336,27.36000061,26.5,63.88000107,55.93000031,27.88999939,19.89999962,16.56999969,132.4400024,32.75,27.79999924,97.58000183,16.05654716,26.5,29.82999992,66.29000092,54.27000046,164.0,17.17000008,8.630000114,4.230000019,7.980000019,,10.47000027,6.78000021,14.97999954,9.850000381,,70.09999847,20.75,5.920000076,725.2199707,34.20000076,32.38000107,24.20000076,22.54999924,11.48999977,19.0,12.35000038
2019-03-12,80.0,123.9000015,65.62999725,42.59000015,86.98000336,58.86000061,97.38999939,83.84999847,27.53000069,26.81999969,64.19999695,57.20999908,28.09000015,19.86000061,16.89999962,135.0299988,33.68000031,28.76000023,100.5,15.98958302,26.93000031,30.29999924,66.75,55.18999863,173.5,18.19000053,9.010000229,4.400000095,8.170000076,,10.68000031,6.949999809,15.80000019,10.39000034,,72.30000305,20.44000053,6.010000229,718.6599731,35.54999924,32.20000076,24.13999939,22.51000023,11.35999966,19.35000038,12.53999996
2019-03-13,80.70999908,124.6699982,67.34999847,43.15000153,88.56999969,59.56999969,98.08000183,84.22000122,27.70000076,27.25,65.05999756,58.06000137,28.5,19.97999954,17.31999969,135.6799927,34.31999969,29.32999992,103.4199982,16.2946434,27.10000038,30.63999939,67.30999756,55.18000031,174.5,18.60000038,9.109999657,4.46999979,8.329999924,,10.89999962,7.150000095,16.32999992,10.81000042,,74.0,20.31999969,6.0,732.5700073,36.45000076,32.22000122,24.25,22.5,11.60000038,19.68000031,12.22999954
2019-03-14,80.44000244,124.5999985,67.01999664,43.09000015,89.69000244,59.68999863,98.47000122,84.94000244,27.72999954,27.70999908,65.20999908,57.95999908,28.46999931,19.97999954,17.26000023,136.3699951,34.27000046,29.5,104.2099991,17.10565567,27.04000092,30.12000084,67.12000275,55.27000046,173.0,18.53000069,9.039999962,4.460000038,8.579999924,,10.63000011,7.0,15.92000008,10.89000034,,74.09999847,20.42000008,5.920000076,742.1500244,36.20000076,32.13000107,24.23999977,22.64999962,11.68000031,19.87999916,13.09000015
2019-03-15,80.15000153,125.3099976,67.58999634,42.38999939,88.84999847,60.45000076,98.51999664,85.08000183,27.55999947,27.85000038,65.47000122,58.25,27.96999931,19.87000084,17.27000046,135.6699982,34.45000076,29.63999939,102.3899994,17.04613113,26.47999954,29.75,66.84999847,54.54999924,164.0,18.69000053,9.010000229,4.320000172,8.420000076,,10.72999954,7.039999962,15.69999981,10.52000046,,73.59999847,22.54000092,5.960000038,728.0,36.29999924,31.72999954,24.29999924,22.32999992,12.09000015,20.19000053,13.14000034
2019-03-18,81.08000183,125.8799973,67.61000061,43.36000061,91.91999817,62.08000183,98.72000122,86.75,27.79000092,28.18000031,67.01000214,59.13000107,28.87000084,19.98999977,17.38999939,138.5800018,35.00999832,30.51000023,104.5400009,17.3214283,28.12000084,30.25,68.37000275,56.27000046,177.0,19.12999916,9.489999771,4.53000021,8.68999958,,10.81000042,7.289999962,16.07999992,10.88000011,,76.5,22.62999916,6.210000038,747.0,37.40000153,32.34000015,24.79000092,22.81999969,11.96000004,20.14999962,13.64999962
2019-03-19,80.87000275,125.2799988,67.34999847,43.25,92.87999725,62.02999878,98.88999939,86.43000031,28.12999916,27.81999969,66.16999817,57.99000168,29.26000023,20.04999924,17.12000084,138.2100067,34.49000168,30.23999977,103.1800003,17.33630943,28.15999985,30.14999962,68.30999756,55.59999847,176.0,19.05999947,9.319999695,4.360000134,8.539999962,,10.60999966,7.190000057,15.52000046,10.76000023,,75.0,22.68000031,5.760000229,771.0700073,36.75,32.38999939,24.92000008,22.76000023,12.01000023,20.25,13.80000019
2019-03-20,81.31999969,124.6900024,67.54000092,44.29000092,95.88999939,62.18999863,98.18000031,86.44000244,28.35000038,28.25,67.26000214,59.95000076,30.10000038,20.09000015,17.60000038,144.4400024,35.29000092,31.25,105.1800003,17.66369057,28.37000084,30.71999931,68.80000305,56.36999893,178.0,19.64999962,9.460000038,4.579999924,8.859999657,,10.92000008,7.420000076,16.45999908,11.31000042,,77.09999847,23.89999962,5.989999771,768.0599976,37.54999924,32.61000061,24.92000008,22.61000061,12.11999989,20.37000084,13.67000008
2019-03-21,81.79000092,125.8600006,68.13999939,44.22000122,96.87000275,62.79000092,98.55000305,86.37999725,28.93000031,28.45999908,67.23999786,60.79999924,30.04000092,20.42000008,17.69000053,145.5899963,36.08000183,31.64999962,105.9100037,17.73065567,27.89999962,30.96999931,69.84999847,56.50999832,185.0,20.0,9.489999771,4.710000038,8.739999771,,10.93000031,7.349999905,17.29000092,11.47000027,,79.30000305,23.92000008,5.980000019,747.0,36.90000153,32.86000061,24.98999977,22.51000023,12.18999958,20.53000069,13.5
2019-03-22,80.48000336,123.0899963,66.06999969,42.47000122,93.68000031,61.29999924,95.98000336,84.62999725,28.46999931,27.15999985,65.23999786,58.75,28.72999954,19.89999962,16.68000031,140.5599976,34.81999969,30.34000015,101.3700027,16.86011887,26.62999916,28.52000046,69.01000214,54.47999954,174.5,18.90999985,8.93999958,4.429999828,8.390000343,,10.31999969,6.960000038,16.40999985,10.86999989,,74.59999847,23.17000008,5.960000038,730.0,35.09999847,32.47999954,24.47999954,21.87000084,12.02999973,20.28000069,13.30000019
