date,ticker,marketcap
2024-03-12,ACIW,3426.5
2024-03-11,ACIW,3421.2
2024-03-08,ACIW,3414.8
2024-03-07,ACIW,3353.1
2024-03-06,ACIW,3325.4
2024-03-05,ACIW,3309.4
2024-03-04,ACIW,3398.8
2024-03-01,ACIW,3419.0
2024-02-29,ACIW,3502.0
2024-02-28,ACIW,3367.1
2024-02-27,ACIW,3394.3
2024-02-26,ACIW,3372.6
2024-02-23,ACIW,3359.5
2024-02-22,ACIW,3322.6
2024-02-21,ACIW,3295.4
2024-02-20,ACIW,3322.6
2024-02-16,ACIW,3350.8
2024-02-15,ACIW,3461.7
2024-02-14,ACIW,3405.2
2024-02-13,ACIW,3262.8
2024-02-12,ACIW,3380.2
2024-02-09,ACIW,3322.6
2024-02-08,ACIW,3232.3
2024-02-07,ACIW,3164.9
2024-02-06,ACIW,3175.8
2024-02-05,ACIW,3144.3
2024-02-02,ACIW,3205.1
2024-02-01,ACIW,3230.1
2024-01-31,ACIW,3269.3
2024-01-30,ACIW,3357.4
2024-01-29,ACIW,3407.4
2024-01-26,ACIW,3319.3
2024-01-25,ACIW,3294.3
2024-01-24,ACIW,3306.3
2024-01-23,ACIW,3344.3
2024-01-22,ACIW,3329.1
2024-01-19,ACIW,3262.8
2024-01-18,ACIW,3219.3
2024-01-17,ACIW,3211.7
2024-01-16,ACIW,3267.1
2024-01-12,ACIW,3282.3
2024-01-11,ACIW,3349.7
2024-01-10,ACIW,3306.3
2024-01-09,ACIW,3236.7
2024-01-08,ACIW,3263.9
2024-01-05,ACIW,3186.7
2024-01-04,ACIW,3188.8
2024-01-03,ACIW,3210.6
2024-01-02,ACIW,3303.0
2023-12-29,ACIW,3326.9
2023-12-28,ACIW,3322.6
2023-12-27,ACIW,3326.9
2023-12-26,ACIW,3322.6
2023-12-22,ACIW,3295.4
2023-12-21,ACIW,3271.5
2023-12-20,ACIW,3228.0
2023-12-19,ACIW,3300.8
2023-12-18,ACIW,3232.3
2023-12-15,ACIW,3231.2
2023-12-14,ACIW,3222.5
2023-12-13,ACIW,3179.0
2023-12-12,ACIW,3079.0
2023-12-11,ACIW,3044.2
2023-12-08,ACIW,3025.7
2023-12-07,ACIW,2982.3
2023-12-06,ACIW,2949.6
2023-12-05,ACIW,2981.2
2023-12-04,ACIW,3000.7
2023-12-01,ACIW,2981.2
2023-11-30,ACIW,2907.2
2023-11-29,ACIW,2951.8
2023-11-28,ACIW,2943.1
2023-11-27,ACIW,2886.6
2023-11-24,ACIW,2850.7
2023-11-22,ACIW,2805.0
2023-11-21,ACIW,2864.8
2023-11-20,ACIW,2883.3
2023-11-17,ACIW,2797.4
2023-11-16,ACIW,2783.3
2023-11-15,ACIW,2832.2
2023-11-14,ACIW,2894.2
2023-11-13,ACIW,2822.4
2023-11-10,ACIW,2837.7
2023-11-09,ACIW,2831.1
2023-11-08,ACIW,2658.3
2023-11-07,ACIW,2673.5
2023-11-06,ACIW,2620.2
2023-11-03,ACIW,2619.1
2023-11-02,ACIW,2503.9
2023-11-01,ACIW,2198.0
2023-10-31,ACIW,2212.1
2023-10-30,ACIW,2163.2
2023-10-27,ACIW,2144.8
2023-10-26,ACIW,2206.7
2023-10-25,ACIW,2202.3
2023-10-24,ACIW,2261.0
2023-10-23,ACIW,2251.2
2023-10-20,ACIW,2297.9
2023-10-19,ACIW,2331.5
2023-10-18,ACIW,2381.5
2023-10-17,ACIW,2364.1
2023-10-16,ACIW,2257.7
2023-10-13,ACIW,2200.1
2023-10-12,ACIW,2239.2
2023-10-11,ACIW,2308.7
2023-10-10,ACIW,2294.6
2023-10-09,ACIW,2290.3
2023-10-06,ACIW,2290.3
2023-10-05,ACIW,2283.8
2023-10-04,ACIW,2267.5
2023-10-03,ACIW,2252.3
2023-10-02,ACIW,2397.8
2023-09-29,ACIW,2449.9
2023-09-28,ACIW,2435.8
2023-09-27,ACIW,2404.3
2023-09-26,ACIW,2418.4
2023-09-25,ACIW,2499.9
2023-09-22,ACIW,2531.4
2023-09-21,ACIW,2541.1
2023-09-20,ACIW,2533.5
2023-09-19,ACIW,2559.6
2023-09-18,ACIW,2552.0
2023-09-15,ACIW,2556.3
2023-09-14,ACIW,2596.5
2023-09-13,ACIW,2547.6
2023-09-12,ACIW,2522.7
2023-09-11,ACIW,2529.2
2023-09-08,ACIW,2514.0
2023-09-07,ACIW,2512.9
2023-09-06,ACIW,2549.8
2023-09-05,ACIW,2516.2
2023-09-01,ACIW,2673.6
2023-08-31,ACIW,2636.7
2023-08-30,ACIW,2662.8
2023-08-29,ACIW,2595.4
2023-08-28,ACIW,2569.4
2023-08-25,ACIW,2525.9
2023-08-24,ACIW,2524.8
2023-08-23,ACIW,2537.9
2023-08-22,ACIW,2484.7
2023-08-21,ACIW,2454.3
2023-08-18,ACIW,2471.6
2023-08-17,ACIW,2464.0
2023-08-16,ACIW,2523.8
2023-08-15,ACIW,2553.1
2023-08-14,ACIW,2573.7
2023-08-11,ACIW,2553.1
2023-08-10,ACIW,2556.3
2023-08-09,ACIW,2568.3
2023-08-08,ACIW,2579.1
2023-08-07,ACIW,2625.8
2023-08-04,ACIW,2592.2
2023-08-03,ACIW,2584.6
2023-08-02,ACIW,2449.2
2023-08-01,ACIW,2523.9
2023-07-31,ACIW,2512.0
2023-07-28,ACIW,2477.3
2023-07-27,ACIW,2464.3
2023-07-26,ACIW,2528.2
2023-07-25,ACIW,2536.9
2023-07-24,ACIW,2525.0
2023-07-21,ACIW,2513.1
2023-07-20,ACIW,2597.6
2023-07-19,ACIW,2635.5
2023-07-18,ACIW,2636.6
2023-07-17,ACIW,2626.8
2023-07-14,ACIW,2610.6
2023-07-13,ACIW,2624.6
2023-07-12,ACIW,2579.2
2023-07-11,ACIW,2450.3
2023-07-10,ACIW,2430.8
2023-07-07,ACIW,2473.0
2023-07-06,ACIW,2462.2
2023-07-05,ACIW,2493.6
2023-07-03,ACIW,2523.9
2023-06-30,ACIW,2509.8
2023-06-29,ACIW,2510.9
2023-06-28,ACIW,2431.8
2023-06-27,ACIW,2378.8
2023-06-26,ACIW,2335.4
2023-06-23,ACIW,2345.2
2023-06-22,ACIW,2375.5
2023-06-21,ACIW,2379.8
2023-06-20,ACIW,2437.3
2023-06-16,ACIW,2481.7
2023-06-15,ACIW,2507.7
2023-06-14,ACIW,2482.7
2023-06-13,ACIW,2522.8
2023-06-12,ACIW,2553.2
2023-06-09,ACIW,2551.0
2023-06-08,ACIW,2519.6
2023-06-07,ACIW,2614.9
2023-06-06,ACIW,2562.9
2023-06-05,ACIW,2484.9
2023-06-02,ACIW,2566.2
2023-06-01,ACIW,2463.2
2023-05-31,ACIW,2470.8
2023-05-30,ACIW,2467.6
2023-05-26,ACIW,2554.2
2023-05-25,ACIW,2493.0
2023-05-24,ACIW,2517.4
2023-05-23,ACIW,2594.3
2023-05-22,ACIW,2599.7
2023-05-19,ACIW,2635.5
2023-05-18,ACIW,2658.2
2023-05-17,ACIW,2643.1
2023-05-16,ACIW,2622.5
2023-05-15,ACIW,2707.0
2023-05-12,ACIW,2725.4
2023-05-11,ACIW,2711.3
2023-05-10,ACIW,2652.8
2023-05-09,ACIW,2594.3
2023-05-08,ACIW,2638.7
2023-05-05,ACIW,2636.6
2023-05-04,ACIW,2594.3
2023-05-03,ACIW,2661.7
2023-05-02,ACIW,2670.4
2023-05-01,ACIW,2738.5
2023-04-28,ACIW,2738.5
2023-04-27,ACIW,2670.4
2023-04-26,ACIW,2604.4
2023-04-25,ACIW,2615.2
2023-04-24,ACIW,2684.4
2023-04-21,ACIW,2768.7
2023-04-20,ACIW,2772.0
2023-04-19,ACIW,2795.8
2023-04-18,ACIW,2818.5
2023-04-17,ACIW,2835.8
2023-04-14,ACIW,2820.6
2023-04-13,ACIW,2799.0
2023-04-12,ACIW,2772.0
2023-04-11,ACIW,2850.9
2023-04-10,ACIW,2823.9
2023-04-06,ACIW,2817.4
2023-04-05,ACIW,2800.1
