Date,ACIW,ACLS,ADBE,ADI,ADP,ADSK,AGYS,AMD,ASGN,AZPN,BBSI,BHE,BLKB,CACI,CAMP,CDNS,CEVA,CHKP,CMTL,CPSI,CRM,CRUS,CSGS,CTSH,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,EA,ETN,FORM,GHM,HHS,HSII,HSTM,INTC,IPG,ITW,IVAC,JBL,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDRX,MGRC,MIND,MPWR,MRVL
2019-03-13,538400,260500,3992500,1814100,1539300,2143600,39700,56705800,372200,453700,36300,782500,266900,213200,4996,2088400,84300,677900,286900,85583.0,5230600,525500,214300,3926900,0.0,360900,1349000,226600,76400,947800,716000,6980000,2225100,179300,16000,32400,185600,94100,25522300,5962300,1469400,44300,1819100,613900,2985000,46700,95100,60600,173900,415200,817500,2158500,966400,4986200,2551500,79700,2047,290200,7603800
2019-03-14,612800,171600,5113400,1961300,1840900,2233800,46600,42818600,271700,274400,33100,454200,108400,203900,5800,1965800,115800,1789400,140300,83628.0,3247200,436600,88600,2577500,302.0,228700,1012000,183500,78400,1203700,902000,5908900,2476700,142900,28900,19800,197100,100500,26647100,5360300,1709100,31100,1754600,536700,3870700,70800,91000,86100,161700,400200,700500,3623200,742200,3995200,2331200,75400,67,195700,5413100
2019-03-15,1296800,310600,12110500,4574400,5612200,3513600,156400,46519900,547500,441100,63000,1067200,448600,503100,24470,4051100,198100,1582900,378600,120389.0,6743700,995400,400300,4808900,0.0,851600,1928700,697400,233800,1211200,1731200,5141800,4940000,524100,68900,7400,215600,303400,46512500,6698800,4524400,57600,4519100,727100,7586000,98100,305500,217400,653000,718800,709200,6123000,1164800,6032400,3812600,265700,124,392900,17341700
2019-03-18,584300,128100,4013400,2745900,1716600,1925200,55300,34731800,215500,521800,21000,556100,220000,107000,9161,3537000,132400,1190900,298300,269508.0,3575500,750200,186100,2376900,0.0,392100,1341000,291300,119900,835400,1388800,5113000,2971400,212800,21000,12000,172300,156100,16274000,3919900,1268000,23700,2069900,714300,5888600,44000,126300,54800,234300,224700,429200,2034300,617800,4583800,1499000,81600,44,220800,7853100
2019-03-19,594600,81800,4257300,1944900,1439800,2172900,68300,156052200,200300,537100,21100,305600,132000,117900,6643,2383000,87900,1094600,186800,95688.0,4379000,537500,250100,2537300,1008.0,527700,1102200,271400,94800,1098600,1723900,6156800,2232100,166100,57300,9700,75700,90800,18274800,4216500,1599400,27200,1826700,427200,3478800,35800,69200,116500,178000,266500,514800,2088400,596000,3414400,1104800,107400,64,200100,9277900
2019-03-20,639800,97000,3732600,2640800,1974900,1805700,67700,151292100,252300,543400,46700,284400,270100,205700,10339,1807800,65100,889900,462100,96191.0,4391000,430900,162400,2161300,0.0,288200,1355000,276600,79200,1007600,973500,4824200,3261900,268400,13300,800,90000,86600,24325300,3196300,1776700,44100,1980600,388800,3820600,51000,105400,73600,217700,284100,506000,2067300,540000,3214800,1121600,74900,71,147400,8250300
2019-03-21,670400,152900,2359900,3724900,1848300,1550300,132900,129610300,148500,547000,25500,1193000,225000,175300,10465,1998500,75200,1463900,276100,122981.0,4277800,879300,167600,4141700,2016.0,176900,1892700,341300,68600,563900,671700,9533400,1891200,456000,13400,3800,145700,106500,19127200,5621400,1315000,30100,944600,464300,3034000,92600,124400,64900,261300,245500,416200,3103300,331700,3466400,1808500,83100,149,228300,12587900
2019-03-22,544100,184700,3454000,2300200,1659700,1858300,105600,115323300,272100,460400,40600,354700,291900,120300,15091,1925100,197200,758500,278400,119934.0,5614300,453200,144200,2711800,0.0,234100,2510000,324500,72700,688800,683300,7158900,3797700,308900,17300,3700,133600,177700,21438400,6303800,1570100,57300,1309600,333600,3661900,80700,138200,110800,230700,306700,624400,2204500,782900,4034600,3080600,116700,63,267400,11485100
2019-03-25,582400,164600,2639300,2690800,1235200,1768900,89400,78438200,383900,557900,29800,274600,175500,165900,12470,2123000,57400,471500,203800,188698.0,3795400,523600,214400,1983700,0.0,228500,1438600,412500,68400,920200,690100,3812400,2801500,225500,14100,3200,199200,78500,16971400,5358400,980000,73500,1083900,340700,2252700,93500,100300,113900,304400,217200,502300,1273400,834400,3852600,1708900,84700,31,176900,6611100
2019-03-26,430300,202500,3150100,3310000,1473900,1511400,85200,75754100,396700,303600,21000,418100,166900,156200,21887,1822300,53600,600800,306900,60283.0,6910300,397300,141700,2295500,0.0,171100,1037200,385300,43700,992900,587600,4059300,2062400,192700,58900,2000,75200,99900,17724300,5859300,782200,10700,1071600,338200,2696800,44500,168200,45300,178500,241900,1339800,1649900,558600,2602200,1399700,57600,37,161600,6956900
2019-03-27,809000,173800,2521900,2621100,1481400,1595400,50000,88585300,235100,329200,31700,309200,198800,139100,7274,1718700,35900,701800,237500,45682.0,8218700,307900,141500,2040300,0.0,168800,775700,588200,52000,1064400,485400,2900800,2136200,309000,6500,7600,153400,72800,19656000,5495600,1021000,38000,767800,260600,2347100,56900,106800,87600,246700,262600,1383000,1390500,475700,6911600,1194100,277400,2438,375600,11039200
2019-03-28,647500,127700,2018000,2615200,1412400,1483500,98700,64667500,215500,255500,22700,297300,141900,84600,18357,1478600,83700,495800,328000,63215.0,4424800,367200,85900,2495800,403.0,163900,829200,626700,40700,742800,699200,2347100,1767000,262900,9200,6100,99900,62600,13607900,5372300,653900,34200,894900,348800,1881000,58500,136900,50300,143200,284500,624600,1665600,458400,5987600,1014700,33100,68,317100,12323400
2019-03-29,959900,233600,2097400,2777700,2333900,1833400,167100,53502800,241800,523300,57400,313200,261500,421600,8143,1899100,84100,722900,669200,248801.0,4913100,549400,191400,4475300,0.0,644800,1235300,327800,48100,888100,731900,3180800,2173100,630400,32600,2300,177500,346100,18736100,4350300,1294100,42600,1440900,367000,2496200,52900,145800,131800,493500,291100,537000,1583000,407300,5226400,2018400,110900,76,285900,16222400
2019-04-01,628800,229900,2970100,3445800,2489500,3886200,112700,63000300,314100,349300,68200,301000,216000,232900,8426,2283800,50900,783100,279100,143016.0,4601100,1298000,192000,3561900,0.0,575800,1449900,331300,197800,936800,637500,2879200,2124600,689800,3300,2500,173700,162000,17830400,3183800,1238900,57100,2640600,349600,4279900,76100,122100,120900,508700,447400,1216600,1798700,321300,8222800,1367300,88400,279,224400,10548700
2019-04-02,451800,195700,1877800,1684200,987800,1904100,58400,53358800,250400,444600,33900,238800,215700,206100,6122,2256300,52900,728900,160700,72232.0,3158400,544300,109700,3069100,202.0,846200,1524500,396700,96200,640900,549700,3157500,1699200,533300,29400,4000,210300,73200,13704500,3074200,1094500,39700,2200200,495600,3234300,42400,60200,77900,244600,362000,1509500,1361800,371900,8129800,1967400,67000,78,381500,10597700
2019-04-03,689300,248600,2432800,2739500,1374700,2655600,66900,197650500,405000,453100,52800,523800,281100,155300,5743,2994400,101600,925700,145600,113678.0,3819100,842600,108000,3483100,403.0,721500,1486100,453600,113900,869900,676400,3522800,2080300,340200,4500,6100,121900,120100,24552800,6416000,1174700,39300,1529300,495000,4190500,38500,97900,83500,354300,514200,1474700,3245000,596500,8496800,1651800,77600,187,419100,18321300
