,date,ticker,marketcap
0,3/8/2024,XOM,430035
1,3/7/2024,XOM,426027.4
2,3/6/2024,XOM,423646.7
3,3/5/2024,XOM,419163.1
4,3/4/2024,XOM,414084.2
5,3/1/2024,XOM,419956.6
6,2/29/2024,XOM,414719.1
7,2/28/2024,XOM,413925.5
8,2/27/2024,XOM,412262.3
9,2/26/2024,XOM,413134.2
10,2/23/2024,XOM,411509.4
11,2/22/2024,XOM,415155.3
12,2/21/2024,XOM,415511.9
13,2/20/2024,XOM,407189.8
14,2/16/2024,XOM,411073.5
15,2/15/2024,XOM,411073.5
16,2/14/2024,XOM,399620.6
17,2/13/2024,XOM,401602.1
18,2/12/2024,XOM,408854.2
19,2/9/2024,XOM,403306.2
20,2/8/2024,XOM,412024.6
21,2/7/2024,XOM,405089.5
22,2/6/2024,XOM,405208.4
23,2/5/2024,XOM,402434.3
24,2/2/2024,XOM,404098.7
25,2/1/2024,XOM,405763.2
26,1/31/2024,XOM,407427.6
27,1/30/2024,XOM,415511.9
28,1/29/2024,XOM,408695.7
29,1/26/2024,XOM,408180.5
30,1/25/2024,XOM,404732.8
31,1/24/2024,XOM,394706.6
32,1/23/2024,XOM,388009.3
33,1/22/2024,XOM,383689.7
34,1/19/2024,XOM,384204.9
35,1/18/2024,XOM,383610.5
36,1/17/2024,XOM,384323.8
37,1/16/2024,XOM,387137.4
38,1/12/2024,XOM,396093.6
39,1/11/2024,XOM,391021.1
40,1/10/2024,XOM,391100.4
41,1/9/2024,XOM,394984
42,1/8/2024,XOM,399937.7
43,1/5/2024,XOM,406714.3
44,1/4/2024,XOM,405485.8
45,1/3/2024,XOM,409052.4
46,1/2/2024,XOM,405644.3
47,12/29/2023,XOM,396212.5
48,12/28/2023,XOM,397044.7
49,12/27/2023,XOM,402870.2
50,12/26/2023,XOM,404772.4
51,12/22/2023,XOM,403861
52,12/21/2023,XOM,403147.6
53,12/20/2023,XOM,401324.7
54,12/19/2023,XOM,408140.9
55,12/18/2023,XOM,402830.6
56,12/15/2023,XOM,399858.4
57,12/14/2023,XOM,402553.2
58,12/13/2023,XOM,392011.8
59,12/12/2023,XOM,388564.1
60,12/11/2023,XOM,394785.9
61,12/8/2023,XOM,394508.5
62,12/7/2023,XOM,390030.4
63,12/6/2023,XOM,392764.8
64,12/5/2023,XOM,398035.5
65,12/4/2023,XOM,405921.7
66,12/1/2023,XOM,408140.9
67,11/30/2023,XOM,407150.2
68,11/29/2023,XOM,405565
69,11/28/2023,XOM,411747.2
70,11/27/2023,XOM,411984.9
71,11/24/2023,XOM,414402.3
72,11/22/2023,XOM,412183.1
73,11/21/2023,XOM,413966.4
74,11/20/2023,XOM,414124.9
75,11/17/2023,XOM,415947.9
76,11/16/2023,XOM,406040.6
77,11/15/2023,XOM,410796.1
78,11/14/2023,XOM,413292.7
79,11/13/2023,XOM,415472.3
80,11/10/2023,XOM,411152.7
81,11/9/2023,XOM,408022
82,11/8/2023,XOM,407903.1
83,11/7/2023,XOM,412975.7
84,11/6/2023,XOM,419554.1
85,11/3/2023,XOM,427123.3
