Date,XOM,CVX,COP,SLB,EOG,MPC,PSX,VLO,WMB,BKR,OXY,HES,HAL,KMI,MRO,PXD,APA,DVN,FANG,FTI,HFC,NOV,COG,MUR,NBLX,OKE,HP,NBR,PDCE,MTDR,RIG,SWN,AR,CHK,CNX,CRK,CDEV,SM,RRC,QEP,GPOR,CLR,WLL,OAS,LPI,CPE,SBOW,REI,TPL,OVV,WES,PAA,PSXP,DCP,HESM,ENLC,ETRN,AM
3/11/2019,11060900,6088600,8703500,9494500,7699100,6670400,2257400,4375500,6013900,4563000,3770000,4506300,11469800,12887000,10014500,1609800,4673800,8110800,1398800,4598899,,3694800,,1628300,,2291500,1045300,137126,,1623100,12970600,19143700,8421700,,2790600,254800,,3034100,5614600,,,,,,,324230,36300,602500,9700,5869380,2791100,1825300,,,97100,3750600,1908200,9482200
3/12/2019,11320000,6184300,11790200,8230600,8308900,5849100,2362600,5009900,4899900,3879400,3195500,2852500,10351000,18940600,8681400,1709200,5924600,7048800,1920700,5773824,,2374700,,1632400,,2416500,1132500,213390,,3135000,21877500,15820000,4923900,,3196600,254800,,2152800,5991400,,,,,,,462790,26100,560700,10700,6834040,837800,709000,,,84800,2898000,1235100,4904200
3/13/2019,10260200,4707000,8324800,8822800,6656000,6243500,2294500,4275800,4867100,3097600,2561600,3870900,10434700,17137900,9722500,1809200,3730200,9233700,2119200,5568461,,4145200,,1982800,,2178500,1178100,178562,,3540400,14750500,12896900,6765500,,2129400,360900,,2133900,7740300,,,,,,,412110,20800,560900,17900,5208800,453600,2732900,,,39300,2594200,2144800,4831100
3/14/2019,9976700,5146400,7315500,7934400,4338900,5473400,1663000,3546000,3739200,5624200,2446300,3572400,11150500,13336700,9602700,1272900,3143100,6571700,2550900,11637293,,2425700,,1873600,,1787000,907200,131654,,1879000,10648800,10705200,6469000,,3925500,231100,,1618100,5428000,,,,,,,221080,34500,336100,14200,4192300,1058800,1218100,,,68400,2085900,1994100,4206800
3/15/2019,25316400,10449700,16733200,14144900,8939900,9173800,3785800,5656800,9076800,9978700,5602900,4319000,12211800,28630200,12215100,1813100,5013800,8012700,1755600,10776595,,9443800,,3106000,,4470100,2909500,194798,,3377500,10079100,24962000,11009600,,4284400,344100,,3005400,10486900,,,,,,,638990,127700,2772000,22800,4072300,3387700,2492600,,,58900,20604500,3751600,4257400
3/18/2019,9840600,5586900,7712200,13518800,4197000,7657900,2530800,3471800,7510100,4398000,3256800,2114600,8630300,16565600,10376200,1573200,2893700,6771400,1396200,4001357,,4638300,,1474400,,2874700,1006400,221876,,3175600,13947400,14417200,7183300,,3354500,384200,,2875900,4318500,,,,,,,434730,30700,1058600,12100,4160540,2463200,1042600,,,40300,2451400,1505400,3890400
3/19/2019,13936500,5096800,6456400,8834700,7035400,6237100,2932600,2946100,10028400,4848400,3695500,2959300,13381300,19594400,9457700,1900300,2768300,6193000,1330900,5515776,,5115000,,1360300,,2129400,1123200,146098,,3023300,12675400,13008200,6392300,,2010400,237500,,2350000,4388200,,,,,,,401210,49200,724700,14300,4462940,1178700,2123900,,,123900,2218200,1304400,4080700
3/20/2019,13133600,6708500,7117300,9512500,7928500,8136000,3292600,3921800,8682600,4939700,5112800,3905200,13823600,15680000,13051800,2417000,4329300,10054100,1531300,5766029,,6155200,,1364400,,2666700,1185100,177346,,2775600,12694300,18821900,8008000,,2539700,398000,,2514900,6056200,,,,,,,506260,47200,839900,11400,7152160,2017700,2636100,,,32300,1457700,1235500,3022000
3/21/2019,10117000,5050400,5580900,6168400,5389100,6306700,2124000,2335900,9138700,3163700,5284600,2210700,9167300,17873700,12806800,1436500,3700600,6863900,1657700,4571213,,2904000,,3948300,,1788900,605700,203134,,2815100,9231500,17592100,5457600,,1844600,289100,,2009300,5626600,,,,,,,490470,32700,868600,11700,5997100,1749600,3012200,,,35700,2353100,1152800,3320900
3/22/2019,12497700,5786800,5182100,7892200,7873000,4664600,1856900,2877700,7949600,4306300,6138600,3292500,10438000,18977400,16337500,1635000,4100900,7404000,1412700,5924486,,2679200,,2805900,,2344200,705500,249702,,2727300,15673900,13479800,5203600,,2293800,297900,,2917500,4906400,,,,,,,579950,37400,762600,7100,6129020,534300,1207700,,,49700,1744700,2948400,3682900
3/25/2019,11320400,3837500,8070000,6390000,2940500,5190100,1357500,2602700,8932300,2448300,6588600,2997200,9254700,14471200,11803800,1095000,3352600,5355100,1053200,6738950,,1880200,,1992300,,1770900,703200,113688,,1872500,10453800,14629400,5588500,,2635300,203500,,2862300,5219200,,,,,,,309790,47700,467000,14100,5232160,480000,1340100,,,63400,1859100,1803000,2205800
3/26/2019,9472800,4079800,7245200,6500500,2393700,4191500,2284700,3233500,8385200,2738100,5885500,3149200,6093500,10840700,14593000,1031200,2763500,5790800,1353000,7530701,,2017900,,1802100,,1966000,764800,141840,,2142600,10167500,20751400,4718200,,2821700,183100,,2488300,5889500,,,,,,,408200,30800,528000,21500,4831280,420600,1390300,,,110100,1757600,2944900,3954100
3/27/2019,7258700,3727800,5015600,5254400,2761700,4793400,1657400,3460300,6329000,2487800,3559800,2283700,6746400,13129300,7851400,2479800,2613200,5433000,880400,4667846,,2185600,,2004400,,1760500,749700,141324,,2107500,7469600,16598000,3323000,,2643100,156400,,2099200,4944600,,,,,,,337840,18600,332700,13500,3050760,1167200,1426700,,,40100,3148500,1962200,12259000
3/28/2019,7412300,4057700,5122100,7419800,2768000,5095500,2524800,2812800,5378600,3084900,2522500,1747400,8155900,15986200,14927700,3245100,3066200,5973000,2086300,5124672,,2136800,,1509700,,2610900,981700,158750,,3731500,10638500,16695500,4119000,,2889500,108600,,1636700,5714300,,,,,,,435210,11800,281400,11400,3704880,808500,1000400,,,42000,1577100,2841300,2284500
3/29/2019,10889200,5318600,6810900,7984800,2785600,8245000,2900400,3208400,5596500,7450800,3190400,2244600,7680600,12665800,9442600,2913600,3890900,6528600,1508800,5107738,,2788400,,1408600,,3037500,1234900,171556,,2271100,8240500,16458800,4604600,,2954300,100700,,2171800,5186300,,,,,,,653210,66000,514300,14800,3736960,994700,1841900,,,44400,2428000,3749300,3432700
4/1/2019,10816400,5506300,5309000,9717800,2633900,6993500,2635300,2919100,8310500,4567200,2809900,2580400,11365500,23043800,14543400,2114000,3325500,5252100,1414000,4628602,,2856100,,2079000,,2008400,1062000,316806,,1413200,14762000,13903500,5721200,,4350600,149200,,1649400,4834600,,,,,,,355810,32400,254400,14300,3795640,750900,1093900,,,102100,1641500,1715200,6430000
4/2/2019,7646000,4362700,5833000,6899400,2260100,7284200,2594800,2924700,8204900,5730000,3312400,3058500,11866500,13659300,11499600,1643100,2819500,4385200,1209100,4082803,,2501600,,1569800,,1795800,978500,188044,,2247900,10521400,15724400,4798200,,4760300,144400,,1907700,4107500,,,,,,,396820,15500,495500,20200,4096680,651100,1182600,,,128600,3259800,1483200,2460900
4/3/2019,8562900,3595400,5490800,7230600,4351500,6979400,2096100,2983200,6675100,5338000,3056700,1893800,8063000,11839900,11452300,2158700,5193600,4312600,1491500,4921190,,3854000,,2439100,,2167700,1117300,193936,,3014600,10610200,17156900,5732600,,4065000,152100,,3510400,9407600,,,,,,,557630,37300,561300,8300,11689740,787500,804800,,,43500,1467800,1830200,1876000
4/4/2019,9360600,3715400,6397900,6670900,5782700,5838700,2146800,3267700,4332600,4255900,2855700,2487900,9072200,13201100,6670700,1103400,5901800,5131500,1751900,3864000,,2965400,,1648200,,1686600,927300,149540,,3069100,10009800,13014500,5832500,,2798300,190000,,2534300,7181600,,,,,,,572290,19900,458400,11200,7676300,1031800,1043400,,,63200,1501100,1549500,2359900
4/5/2019,10059100,5551400,8337800,9149600,4505400,7359600,2705200,2966700,5675900,3982600,3808400,4768400,8285800,9349800,9184800,1396600,5549200,7171400,1951600,5328826,,2905400,,1830800,,2202300,1150500,163966,,2691000,8817700,12713000,8049000,,3773800,199100,,2480100,4825200,,,,,,,552960,20800,509300,12000,5493780,977100,1184700,,,68400,1972900,2862400,1966600
