Date,ACIW,ACLS,ADBE,ADI,ADP,ADSK,AGYS,AMD,ASGN,AZPN,BBSI,BHE,BLKB,CA,CACI,CAMP,CDNS,CEVA,CHKP,CMTL,CPSI,CRM,CRUS,CSGS,CTSH,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,EA,ETN,FORM,GHM,HHS,HSII,HSTM,INTC,IPG,ITW,IVAC,JBL,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDRX,MGRC,MIND,MPWR,MRVL
3/13/2019,33.13999939,20.18000031,264.3800049,108.0800018,152.8399963,153.3800049,20.42000008,23.37999916,63.86000061,101.3700027,80.15000153,26.47999954,77.33000183,,183.5200043,300.6099854,60.65999985,27.82999992,122.0400009,23.02000046,30.30999947,159.8099976,41.15999985,41.50999832,71.20999908,47.86706161,115.0299988,11.36999989,37.47000122,30.11000061,91.40000153,54.41999817,100.1299973,80.58999634,15.42000008,21.57999992,4,41.15999985,27.39999962,54.36999893,22.22999954,145.2299957,6.170000076,27.65999985,135.6999969,26.45999908,87.37000275,22.29000092,35.75999832,46.84999847,85.16999817,28.59000015,170.4100037,84.33999634,42.52999878,10.56000042,57.18000031,400,138.6900024,19.69000053
3/14/2019,33.27999878,20.32999992,267.6900024,108.25,153.5099945,153.1499939,20.42000008,22.81999969,64.66000366,101.3099976,79.63999939,26.12000084,77.41000366,,185.5,293.7099915,61.15999985,27.76000023,123.8000031,22.28000069,29.93000031,160.6699982,40.5,41.36000061,70.93000031,48.10515976,114.6299973,11.23999977,37.00999832,30.05999947,90.72000122,54.22000122,98.83000183,80.98999786,15.38000011,20.98999977,3.900000095,40.68999863,27.53000069,53.43999863,22.42000008,144.8999939,6.010000229,27.40999985,135.8399963,26.70000076,86.51000214,22.20000076,35.77999878,46.70000076,84.34999847,28.87999916,176.5299988,84.01999664,42,10.44999981,57.27000046,395,137.9499969,19.40999985
3/15/2019,33.65000153,20.59000015,257.0899963,109.3899994,155.3099976,153.2799988,20.47999954,23.29000092,64.55999756,102.2200012,79.98999786,26.27000046,77.40000153,,183.5599976,292.7900085,60.99000168,28.52000046,125.6399994,22.61000061,29.56999969,161.5099945,41.36999893,41.45000076,72.12999725,48.10515976,112.25,11.25,37.65999985,30.72999954,90.69000244,54.72999954,98.98000336,80.58000183,15.68999958,20.87000084,3.950000048,40.75,27.61000061,54.33000183,22.34000015,143.1799927,6.079999924,27.17000008,137.2400055,26.84000015,88.83000183,21.87000084,35.61999893,46.91999817,84.44999695,28.51000023,182.3899994,84.51000214,43.04999924,10.63000011,57.83000183,394,141.1000061,20.13999939
3/18/2019,33.38999939,20.67000008,257.7600098,109.1500015,154.6900024,153.8500061,20.36000061,23.25,65.37000275,101.5699997,79.26999664,26.17000008,78.13999939,,184.6499939,294.1700134,61.06000137,27.87000084,126.75,22.40999985,29.95000076,161.9499969,41.54000092,41.84999847,71.87999725,48.10515976,115.1200027,11.31999969,37.59000015,31.81999969,92.52999878,54.02999878,99.66000366,82.09999847,15.60999966,21.12000084,3.890000105,41.20999908,28.02000046,54.09999847,22.20999908,145.3800049,6.150000095,26.88999939,138.1300049,26.36000061,89.76000214,22.5,35.95000076,47.68999863,85.70999908,28.57999992,180.1999969,85.44000244,42.66500092,10.44999981,58.72000122,392,140.9199982,19.95000076
3/19/2019,33.18000031,20.70999908,260.4200134,109.9499969,154.6300049,155.1000061,20.36000061,26,64.98000336,102.6100006,78.29000092,26.04000092,78.73999786,,183.4400024,292.5599976,61.24000168,27.71999931,126.1800003,21.97999954,29.70000076,163.9299927,42.13999939,41.50999832,72.01999664,47.86706161,114.0199966,11.30000019,37.56000137,33.59000015,92.44999695,54.66999817,97.51000214,82.22000122,15.88000011,20.20999908,3.859999895,40.40999985,28.25,54.16999817,22.28000069,145.9900055,5.909999847,27.29000092,136.9799957,26.20000076,88.69999695,22.23999977,35.72000122,47.31999969,85.72000122,28.88999939,179.3500061,85,43.04999924,10.46000004,58.52000046,395,141.5200043,20.22999954
3/20/2019,32.90000153,20.5,259.7399902,108.6100006,154.0200043,154.3099976,20.60000038,25.70000076,63.81000137,102.8000031,77.5,25.96999931,78.73999786,,181.7799988,290.4899902,61.45000076,27.12000084,125.8099976,22.20999908,29.95000076,163.5099945,41.25999832,41.08000183,71.70999908,47.86706161,115.5100021,11.22999954,37.08000183,33.70999908,91.33999634,54.5,97.02999878,81.23000336,15.76000023,20.94000053,3.839999914,40.36999893,28.05999947,53.81999969,21.94000053,145.6600037,5.960000038,27.07999992,135.0599976,26.21999931,88.55000305,22.09000015,35.52000046,46.29999924,84.37000275,28.81999969,175.7400055,84.26999664,42.13999939,10.38000011,57.90999985,390,140.5299988,20.01000023
3/21/2019,33.33000183,20.88999939,264.1799927,110.1800003,155.3399963,158.8200073,21.14999962,27.88999939,64.94000244,106.0199966,77.5,26.42000008,80.76000214,,185.7599945,293.25,63.08000183,27.72999954,126.1600037,22.20999908,30.14999962,166.9499969,43.22999954,41.91999817,72.19999695,47.12301636,116.2900009,11.39000034,37.72999954,34.22000122,92.45999908,55.02999878,104.8799973,82.01000214,16.37000084,20.62000084,3.890000105,40.56999969,28.44000053,54.63999939,21.93000031,146.4700012,6.010000229,27.56999969,137.8699951,26.78000069,89.33999634,22.27000046,35.97000122,47.49000168,85.01000214,29.60000038,183.8000031,85.84999847,43.68999863,10.53999996,58.38000107,394,145.0099945,20.79000092
3/22/2019,32.18000031,19.96999931,259.6900024,107.4000015,153.8099976,154.2200012,20.88999939,26.37000084,61.81999969,102.5199966,74.5,25.71999931,76.09999847,,180.2700043,281.519989,61.75999832,26.30999947,125.4300003,21.17000008,29.84000015,161.5,41.79999924,41.27999878,70.88999939,47.12301636,112.8899994,10.89999962,35.97000122,31.95000076,90.30000305,53.83000183,102.3399963,79.01999664,15.77000046,19.54000092,3.75,38.74000168,27.85000038,53.25999832,21.12999916,141.6499939,6.099999905,26.87000084,135.7700043,26.31999969,85.88999939,21.46999931,34.20000076,44.81000137,81.51000214,28.20000076,179.4499969,80.75,42.70999908,9.899999619,57.56999969,399,139.6699982,19.70999908
3/25/2019,32.24000168,20.12999916,262.269989,105.25,153.75,154.6900024,20.88999939,25.96999931,61.38999939,103.1900024,76.01999664,25.78000069,76.22000122,,182.1399994,283.1300049,62.11000061,26.37999916,125.4300003,21.52000046,29.98999977,160.8800049,42.02999878,40.84000015,70.75,47.12301636,112.4599991,10.71000004,34.99000168,32.79000092,91.13999939,53.79000092,101.7300034,78.95999908,15.73999977,19.11000061,3.710000038,39.15000153,27.98999977,52.77999878,20.95999908,142.0399933,6.090000153,26.85000038,135.1799927,25.95000076,86.87000275,21.80999947,34.11999893,44.45999908,81.56999969,29.15999985,179.0899963,79.68000031,41.90999985,9.909999847,57.16999817,400,138.6199951,19.72999954
3/26/2019,32.61999893,19.84000015,265.5899963,107.0999985,156.1999969,155.9100037,20.82999992,25.69000053,62.34999847,103.8000031,76.69000244,25.96999931,77.98000336,,183.3300018,284.9700012,62.29999924,26.69000053,126.0599976,21.54999924,29.65999985,159.3999939,42.52000046,41.22999954,71.08999634,47.12301636,111.9499969,10.77000046,35.13000107,33.04999924,92.08999634,54.29999924,102.3199997,79.51999664,15.84000015,20.20999908,3.789999962,39.52000046,28.22999954,53.43999863,20.79000092,143.25,6.03000021,26.65999985,137.1600037,26.09000015,87.98999786,21.88999939,34.41999817,44.86999893,82.59999847,30.20999908,180.0500031,79.5,42.125,9.829999924,57.70999908,399,140.2599945,19.69000053
