,date,ticker,marketcap
0,3/12/2024,ACIW,3426.5
1,3/11/2024,ACIW,3421.2
2,3/8/2024,ACIW,3414.8
3,3/7/2024,ACIW,3353.1
4,3/6/2024,ACIW,3325.4
5,3/5/2024,ACIW,3309.4
6,3/4/2024,ACIW,3398.8
7,3/1/2024,ACIW,3419
8,2/29/2024,ACIW,3502
9,2/28/2024,ACIW,3367.1
10,2/27/2024,ACIW,3394.3
11,2/26/2024,ACIW,3372.6
12,2/23/2024,ACIW,3359.5
13,2/22/2024,ACIW,3322.6
14,2/21/2024,ACIW,3295.4
15,2/20/2024,ACIW,3322.6
16,2/16/2024,ACIW,3350.8
17,2/15/2024,ACIW,3461.7
18,2/14/2024,ACIW,3405.2
19,2/13/2024,ACIW,3262.8
20,2/12/2024,ACIW,3380.2
21,2/9/2024,ACIW,3322.6
22,2/8/2024,ACIW,3232.3
23,2/7/2024,ACIW,3164.9
24,2/6/2024,ACIW,3175.8
25,2/5/2024,ACIW,3144.3
26,2/2/2024,ACIW,3205.1
27,2/1/2024,ACIW,3230.1
28,1/31/2024,ACIW,3269.3
29,1/30/2024,ACIW,3357.4
30,1/29/2024,ACIW,3407.4
31,1/26/2024,ACIW,3319.3
32,1/25/2024,ACIW,3294.3
33,1/24/2024,ACIW,3306.3
34,1/23/2024,ACIW,3344.3
35,1/22/2024,ACIW,3329.1
36,1/19/2024,ACIW,3262.8
37,1/18/2024,ACIW,3219.3
38,1/17/2024,ACIW,3211.7
39,1/16/2024,ACIW,3267.1
40,1/12/2024,ACIW,3282.3
41,1/11/2024,ACIW,3349.7
42,1/10/2024,ACIW,3306.3
43,1/9/2024,ACIW,3236.7
44,1/8/2024,ACIW,3263.9
45,1/5/2024,ACIW,3186.7
46,1/4/2024,ACIW,3188.8
47,1/3/2024,ACIW,3210.6
48,1/2/2024,ACIW,3303
49,12/29/2023,ACIW,3326.9
50,12/28/2023,ACIW,3322.6
51,12/27/2023,ACIW,3326.9
52,12/26/2023,ACIW,3322.6
53,12/22/2023,ACIW,3295.4
54,12/21/2023,ACIW,3271.5
55,12/20/2023,ACIW,3228
56,12/19/2023,ACIW,3300.8
57,12/18/2023,ACIW,3232.3
58,12/15/2023,ACIW,3231.2
59,12/14/2023,ACIW,3222.5
60,12/13/2023,ACIW,3179
61,12/12/2023,ACIW,3079
62,12/11/2023,ACIW,3044.2
63,12/8/2023,ACIW,3025.7
64,12/7/2023,ACIW,2982.3
65,12/6/2023,ACIW,2949.6
66,12/5/2023,ACIW,2981.2
67,12/4/2023,ACIW,3000.7
68,12/1/2023,ACIW,2981.2
