AAN,ACIW,ACLS,ACXM,ADBE,ADI,ADP,ADSK,AGYS,AMD,ARRS,ASGN,ATU,ATVI,AVID,AZPN,BBOX,BBSI,BCOR,BHE,BLKB,CA,CACI,CALD,CAMP,CCMP,CCRN,CDNS,CERN,CEVA,CHKP,CMTL,CPSI,CRAY,CREE,CRM,CRUS,CSGS,CTG,CTSH,CTXS,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,DSPG,EA,EFII,EPAY,ETN,FISV,FNSR,FORM,GHM,HHS,HSII,HSTM,IDTI,INTC,IPG,ITW,IVAC,JBL,JCOM,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDCA,MDRX,MGRC,MIND,MOSY,MPWR,MRVL,MSCC,MSFT,MU,MXIM,NATI,NSP,NTAP,NTCT,NUAN,NVDA,NVEC,OCLR,OMC,OMCL,ORCL,PDFS,PEGA,PLAB,PLUS,PLXS,PNR,POWI,PRFT,PRGS,QCOM,QSII,RCII,RHI,RHT,RMBS,RSYS,SANM,SCSC,SGMS,SIGM,SLAB,SMTC,SNPS,SNX,SONS,SPA,SPRT,STX,SXI,SYNA,SYNT,TBI,TECD,TNC,TTEC,TTWO,TWIN,TXN,TZOO,UIS,UTEK,VDSI,VECO,VRNT,VRSN,VSAT,XLNX,YHOO,ZBRA
12.72699456,9.69,19.56,22.61667162,38.42,27.8305921,35.01209522,42.52,18.16484705,32.56,9.74,10.59,28.39996286,6.449062554,56.97,8.41,41.40113321,20.13671692,8.947948523,22.8,14.47761293,22.52935101,58.24,4.24,10.68,19.99248786,18.03,17.28,11.6075,6.5,21.28,24.01799129,25.94444036,5.6,26.45,8.9925,7.07,21.9254437,3.811298678,12.745,23.94651619,15.03224211,25.47459499,11.9,21.64,5.862322149,22.8698065,25.85817349,26.18,54.59,28.59,11.33,23.80302329,22.15,16.4,25.62,8.420529102,18.58841067,25.79723096,2.44,13.82,18.4487534,8.554839738,34.38534849,13.52,31.23599485,20.17874943,16.90042943,20.44774642,18.65600974,23.08787743,10.10877235,18.70339241,17.81354717,5.48,35.58251163,39.60469992,21.21285443,3.53283412,7.153064667,20.6884414,19.24,55.4,13.92565906,26.19937217,28.43,20.78154218,14.05,24.91617769,18.79175895,35.75431829,25.87628124,5.4,7.59,12.17538249,13.90620521,29.4,34.24257728,12.28,11.54246978,17.02,3.618614137,15.88,6.823529412,23.8,28.27818489,24.44553715,9.04,19.16383626,36.43969793,15.20307363,15.82110118,30.63441342,28.8,18.49,17.34,26.46,27.715,27.81,15,37.96,18.89,20.85,15.58158425,21.15,8.4,13.11,14.72463367,23.19568567,16.84,10.44,21.59,40.42,22.51522667,11.65234446,17.80890204,9.864094999,26.71535556,22.84,60.7,16.74,10.09,18.24,34.23,17.96783036,27.37,20.62370464,40.97,42.41
12.64313702,10.16,19.72,22.67496202,38.07,28.71720383,34.71831903,41.87,19.06542491,33.68,9.77,10.5,28.17614528,6.503909294,57.36,8.3,41.31577005,20.61596916,9.276648673,22.9,15.06681811,22.56912741,58.64,4.45,11.11,20.17154562,18.09,17.12,11.7,6.46,21.05,24.07895066,26.64123031,5.8,26.81,9.015,7.23,21.57180751,3.746700396,12.5725,23.96251253,15.02282341,25.5567711,12,22.54,6.226918289,22.76019428,26.02748856,26.19,55.84,28.76,11.53,23.67145594,22.345,17.2,26.36,8.387129031,18.77037553,25.89304241,2.45,14.41,18.70515717,8.728365899,34.04849992,14.01,31.17830303,20.46469203,17.04716451,20.59134014,18.47671577,23.26238898,10.28381602,18.771903,17.83516556,5.53,36.24518189,39.87613929,21.61978419,3.494611803,7.331508903,20.84996012,19.86,55.9,14.01800428,27.25967191,28.87,20.79695304,14.18,25.51199933,18.88161793,35.85998007,26.01460776,5.55,7.66,12.45118016,15.11544044,29.7,33.62961973,11.98,11.69795471,17.7,3.652208698,16.05,6.672941176,23.94,28.6826121,24.4266018,9.46,19.10434177,36.26323451,15.37711555,16.00743107,30.74086821,29.05,22.23,17.29,27,27.48,27.95,15.3,39.57,19.05,20.55,15.63076854,21.95,8.561904762,13.08,14.59166407,23.35577213,17.17333333,10.45,22.26,39.75,22.04887284,11.69125045,18.46886135,9.8067209,27.1932689,22.69,61.2,17.34,10.19,19.03,33.94,18.12962599,27.5,21.86434339,41.53,42.53
12.75924746,10.36,19.8,23.42302203,39,28.82990871,35.01962794,44.29,19.19955352,33.78,10.06,10.99,28.27064604,6.805566366,57.25,8.38,41.78526744,20.26668363,9.280300897,23.17333333,15.00789759,22.78391995,59.86,4.56,10.11,20.75692676,18.32,17.26,11.79625,6.66,22.12,24.26944868,27.36312982,6,27.64,9.9625,7.25,21.61959618,3.691330439,12.8375,24.09848139,14.93805513,25.81699546,12.56666667,22.93333333,6.246107559,23.1360076,26.24383559,26.88,56.56,28.99,11.55,24.0234875,22.42495,17.12,26.63,8.439084697,18.80536878,26.11660244,2.42,14.42,18.73363857,8.867186828,34.53463365,13.72,31.77170452,20.44269645,17.40105502,21.11785047,18.75981152,23.3321936,10.54638154,18.91871142,18.05567306,5.62,37.52250282,40.37660562,22.23017882,3.543754782,7.413083411,21.18704267,20.83,56.1,13.9810662,27.81247775,29.72,20.73530961,14.47,26.48020949,19.07818445,37.0872822,26.7246839,5.63,8.21,12.65570428,14.79057128,29.75,33.981576,12.29,11.99977841,18.02,3.772189272,16.81,6.687058824,24.83,29.06324947,25.53431979,9.62,19.09112077,37.98776346,15.56344278,16.04977877,31.30589749,30.08,22.94,17.76,28.26,28.87,28.12,15.1,40.34,19.17,20.61,15.74881085,25.2,8.485714286,13.35,14.96957767,23.73492427,17.41333333,10.9,22.78,40.51,22.18331719,11.64261796,18.71884594,10.18921489,27.44019079,22.74,61.2,17.84,10.29,19.2,33.9,17.84861253,27.8,22.30086443,43.21,44.12
13.09467763,10.47333333,20.84,23.48131242,38.38,29.23564629,34.92923527,43.64,19.62110061,33.25,10.23,10.84,28.35022562,6.741578502,57.46,8.4,42.14379272,20.67282959,9.097689703,23.13333333,14.89847377,23.10213112,60,4.49,10.36,20.91532402,18.61,17.13,12.221125,6.88,21.85,25.51149582,27.37568459,5.64,28.13,9.6325,7.55,21.38065281,3.719015417,13.0625,23.93051986,15.11701039,26.39222825,12.59333333,23.3,6.418810994,23.46484425,26.41315066,27.2,56.12,29.05,11.38,24.15505486,22.575,17.04,26.88,8.216417555,18.79837013,26.88309398,2.39,14.44,18.84756415,8.867186828,34.38152066,13.42,31.71401271,21.06297194,17.56505306,20.15002876,18.75981152,23.13150532,10.60764683,19.05573261,18.05134938,5.75,37.89705557,41.12306387,22.26299574,3.527373789,7.407985005,21.37665161,21.96,57.3,13.87025193,28.12059904,29.35,20.69678246,14.7,26.82551522,18.66820286,37.12792134,26.78001451,6.22,8.04,13.0089732,15.01617487,29.7,33.6098469,12.35,11.7801788,18.5,3.80098461,16.91,6.715294118,22.5,29.47560662,26.32013682,9.92,19.61335018,38.15620583,15.9852385,16.23610866,31.55156239,29.62,28.2,18,29.46,30,28.21,15.22,40.04,19.08,20.98,15.9750586,24.55,8.552380952,13.53,15.59943367,24.16463004,18.68,10.885,22.54,40.49,22.30935876,11.79824193,18.87883608,10.31458792,27.22512979,23.96,62.6,18.25,10.6,19.47,33.21,18.38517792,27.96,22.27788964,43.42,44.79
13.05597415,10.59666667,21.36,23.03441943,38.61,29.23564629,34.64299181,42.53,19.61151999,34.93,10.57,10.75,28.33530445,6.759860749,56.92,8.79,42.64743537,20.67282959,9.017340777,23.22,14.64595726,22.87142802,60.17,4.4,10.23,21.01862657,18.91,16.86,12.05,6.8,21.6,25.66389424,27.62050268,5.56,27.81,9.5625,7.59,21.14170944,3.709787091,12.9225,23.58659861,15.44666483,26.62049523,12.54666667,23.25333333,6.342053912,23.4726737,27.23150682,26.83,55.9,29.09,11.54,23.9132554,22.01,18.4,28.19,8.350017841,18.83336337,27.53780551,2.44,14.32,18.59828073,8.676308051,34.24371897,13.61,31.54093727,21.04977459,17.73768257,21.29973585,18.87304982,23.51543072,10.81769924,19.31998776,18.12917556,5.8,37.2247814,41.96282941,22.34831972,3.549215112,7.520149953,21.44687714,22.4,53.2,13.88872098,29.45277051,29.5,20.80465847,14.57,26.81197381,18.88723412,37.15230483,26.40192202,5.96,8.25,13.01207205,14.82666785,29.65,33.43584605,11.8,11.54246978,18.5,3.80098461,16.69,6.701176471,23.72,29.41216706,26.34853985,9.75,19.42825621,38.00380559,16.47665098,16.49019486,32.38682306,30.47,28.31,18.16,29.22,30,29.04,16.02,41.18,19.07,20.98,16.24065378,25.3,8.485714286,13.41,16.32026888,24.71229425,19.4,10.905,22.51,40.77,22.36397678,11.71070345,18.74884409,10.49946001,26.95431223,23.36,61.9,18.3,10.39,20.03,34.39,18.63195884,27.84,22.40042186,42.98,46.46
13.10112821,10.53666667,20.8,23.05384956,39.33,29.3784058,34.74844992,41.93,19.72648738,36.27,10.25,10.7,28.16122411,7.171211302,57.7,9.05,43.51813961,21.66382575,8.90777406,23.16666667,14.77221552,23.12599696,60.65,4.38,10.71,21.23211852,18.9,16.95,11.7575,6.75,21.69,25.03144079,27.47612278,7.4,27.66,9.5675,7.84,21.43799922,3.691330439,12.595,23.65858213,15.33364045,27.24138142,12.54,23.62666667,6.226918289,23.62926258,27.58894974,27.18,58.19,28.7,11.36,24.01993163,21.98,20.96,27.88,8.238684269,18.74937959,27.35416691,2.49,14.49,18.61259263,8.693660667,34.44659368,14.73,31.12885291,20.89580549,17.94483799,21.18486087,18.61826364,23.48052841,10.66891211,19.13403043,18.10755718,5.8,38.07952999,43.08251679,22.69617903,3.549215112,8.611208997,21.64350862,22.06,58.1,14.64595177,30.29104167,31.02,21.02811591,14.75,26.92030502,18.76929421,37.13604917,28.07106204,5.75,8.23,13.48309729,15.20568188,33.65,33.63752886,11.79,11.52417743,18.83,3.89696907,16.82,6.771764706,23.81,29.71350498,26.65150545,9.59,19.46130871,39.14359892,17.01515715,16.91367188,32.38682306,30.82,32.2,18.57,28.74,29.585,30.01,15.7,42.18,18.91,21.34,18.25720983,25.15,8.485714286,14.16,16.22229127,24.79655028,19.5,10.88,21.87,41.13,22.46901142,11.79824193,19.21881512,10.63545788,26.92245134,23.02,62.8,19.57,10.36,20.73,34.4,18.64907511,28.04,22.25491485,41.87,46.02
13.10112821,10.41333333,20.56,22.67496202,39.48,29.13045506,34.23622478,41.7,18.93973058,35.35,10.37,10.25,27.803116,7.079800068,55.68,8.75,42.64743537,22.38676556,8.674031732,23.24666667,14.73012943,23.35670006,58.15,4.58,10.74,20.78447411,18.9,17.2,11.56,6.64,21.95,24.32278813,29.30911978,7.08,27.46,9.5625,8.21,21.33286414,3.691330439,12.43,24.28243927,15.25829087,26.95376502,12.89333333,23.19333333,6.581919794,23.39437926,28.50136983,26.92,57.17,28.27,11.99,23.38343011,21.94,20,27.02,8.27579546,18.51142554,27.25037118,2.55,14.24,18.4915467,8.641602819,34.53846147,14.61,31.11236954,20.59226642,17.92757504,20.69664221,17.8444686,23.3321936,10.76518613,19.11445598,18.09890982,5.56,37.83943207,43.05706935,22.75524948,3.658421731,8.351190253,21.16379592,21.11,61,15.18155405,28.97699499,30.33,20.91253448,14.57,27.26561075,18.78052658,36.90034214,30.12751632,5.7,8.09,13.29096857,14.66423327,32.25,33.43584605,11.62,11.45100805,19.07,3.820181502,16.85,6.8,23.84,29.4359569,25.35443396,9.56,19.60673968,39.30321811,16.50326915,16.90520234,32.41138955,29.89,33.72,18.62,28.74,29.705,30.09,16.2,41.17,18.58,21.67,17.56862971,24.75,8.485714286,14.37,16.09632007,24.43424934,19.74666667,11.08,21.68,40.84,22.30935876,11.63289147,18.89883484,10.49946001,26.57994678,22.47,63.1,18.44,10.02,20.46,34.44,18.62352843,27.37,22.06345825,40.89,46.51
13.10112821,10.38333333,22.12,22.64581682,38.84,29.31829653,34.46220646,42.88,18.76702787,34.13,10.96,10.78,27.60416705,6.810136928,56.05,8.78,42.7157259,22.22430718,8.834729583,23.34,14.73012943,23.35670006,58.48,4.61,10.79,20.4470191,19.18,17.25,11.5675,6.4,21.96,24.3837475,26.02604639,7.16,27.04,9.5325,7.98,21.25640226,3.792842026,12.3375,24.44240263,15.23003477,27.12724793,13.33333333,22.77333333,7.119219369,23.41003815,28.78356161,27.03,57.19,28.49,11.78,23.13096303,21.91,19.28,27.28,8.168173008,18.50442689,27.08270115,2.51,14.19,18.36338041,8.676308051,34.27434157,14.96,31.24423653,20.72863905,18.04841569,20.98382966,18.00488952,23.39327264,10.75643395,19.10466875,18.11188085,5.79,36.77339731,43.00617447,22.33519296,3.658421731,8.407272727,21.05092234,20.72,59.1,14.77523508,29.20808596,30.5,20.95106162,14.51,27.26561075,18.95462835,36.52646202,29.62031908,6.08,7.91,13.17321226,14.73642642,30.35,33.59402864,11.29,11.44186188,19.05,3.791386164,16.88,6.776470588,23.63,29.1028992,25.55325514,9.99,19.30926723,39.01453998,16.48279363,17.16775808,32.2885571,28.84,34.25,18.92,28.44,29.77,30.02,16.29,40.98,18.51,21.4,17.90308291,24.45,8.485714286,13.62,16.95712328,24.87238071,19.79333333,11.03,22.03,40.91,22.47321281,11.40918202,18.40886505,10.51220981,26.30912922,22.64,63.3,18.35,10.14,19.72,34.67,18.55540396,27.35,22.04814172,39.9,46.16
12.93986371,10.43666667,22.64,22.3446498,39.44,28.41665748,34.14583211,42.57,18.26810893,32.86,11.1,10.57,27.5096663,6.636455583,53.88,8.59,42.48524536,21.98874252,8.54985612,23.45333333,14.64595726,23.11804168,58.88,4.79,10.55,20.17154562,18.96,17.25,11.405,6.77,21.71,24.30754829,25.93188559,7.32,26.85,9.7475,7.98,21.12259397,3.737472069,12.3,24.32243011,14.90038034,26.94919968,12.66,22.72666667,6.99448911,23.38654981,28.59543376,26.53,56.2,28.35,11.86,22.92827819,22.15495,18.88,27.34,8.183017484,18.56041608,27.13060688,2.6,14.01,18.17113099,8.632926511,34.37386501,14.61,31.04643604,20.79022669,17.94483799,20.78279844,17.70292073,23.13150532,10.47636407,18.69360518,17.99514159,5.86,36.1289745,42.41240086,22.37457325,3.647501069,8.381780694,20.61353722,21.66,59.4,14.77523508,28.52840664,29.97,20.79695304,13.97,27.08957253,18.5277982,35.59176172,29.26067012,6.05,7.71,13.16388472,14.96203,30.9,33.27766345,11.34,11.37783867,18.5,3.786586941,16.84,6.771764706,23.27,29.0156698,25.41124001,9.86,18.9192478,38.5973644,16.87182851,16.9814282,30.75724587,29.27,34.27,18.29,27.18,29.075,30.93,16.18,40.23,18.12,21.15,17.77520375,24.5,8.476190476,13.62,16.88713928,24.45110055,20.47333333,10.83,21.69,41.14,21.95224097,11.28273754,18.18887861,10.53983438,25.67987666,22.36,61.7,18.36,10.13,19.49,34.31,18.76829294,26.54,21.74946943,40.11,45.24
12.93986371,10.66666667,23.24,22.30578954,39.73,28.28892528,34.06297216,43.11,19.21797384,34.15,11.09,10.74,27.49474513,6.558756034,54.19,8.4,43.09986012,21.63945699,8.356288254,23.73333333,14.38502354,23.07826529,59.91,4.75,10.76,19.84786428,18.94,17.21,11.4525,6.65,21.55,24.6352049,25.90677604,7.92,27.39,9.7875,8.32,21.09392077,3.765157048,12.625,24.01849971,14.89096164,26.79854348,13.13333333,22.16666667,7.128814004,23.45581528,29.54547942,26.54,56.99,28.32,12.1,22.97806043,22.32,18.4,27.47,8.186728603,18.54641878,26.8751097,2.67,13.69,16.091277,8.650279127,34.22802489,14.42,31.67280427,20.67145053,18.02252127,21.35717334,17.57080938,23.40199822,10.64265556,18.99700924,18.05567306,6.25,36.80220906,42.73473511,22.59772828,3.70756471,8.310402999,21.2343419,22.27,58.1,14.77523508,28.97699499,29.32,20.67366618,13.86,26.83228592,18.38177736,36.20134887,28.92868647,6.19,7.61,13.23212141,15.08836801,30.7,33.11948086,11.31,11.28637695,19,3.786586941,16.98,6.550588235,23.06,29.09496925,25.11774208,10.18,18.66804884,38.300585,16.44389015,16.9390805,31.10854668,28.9,34.08,18.72,27.66,29.24,31.02,16.18,40.4,17.85,21,17.96210406,24.45,8.476190476,13.41,17.21606408,24.67859183,19.66666667,10.84,21.65,40.97,21.90602572,11.40918202,18.41886444,10.43571102,25.2656851,22.02,62.2,18.32,9.77,19.52,34.15,18.75977738,26.57,22.05579999,35.1799,44.93
